seller_type,seller_age_days,total_completed_tasks,seller_trust_score,task_type,is_duplicate_screenshot,completion_duration,timing_risk_score,std_dev,seller_average,z_score,population_score,timing_consistency_score,validity_score,logical_behavior_flag,final_behavior_risk_score,repetitive_behavior_flag,device_seller_count,ip_seller_count,device_sharing_score,ip_reuse_score,automation_score,device_risk_score,fraud_label
power,464,6039,89,Comment,1,25.47,4,9.58,34.48,-0.85,4.26,23.08,0,0,27.34,0,2,2,12,6,0,18,0
beginner,27,18,66,Follow,0,26.65,6,43.01,23.28,0.08,0.38,16.4,0,0,16.78,0,1,3,0,12,0,12,0
beginner,21,54,55,Follow,0,92.24,11,89.89,120.08,-0.31,1.53,7.02,0,0,8.55,0,2,2,12,6,0,18,0
beginner,40,51,47,Comment,0,64.7,3,51.69,79.79,-0.29,1.43,14.66,0,0,16.09,0,2,1,12,0,0,12,0
experienced,355,210,72,Like,1,24.93,2,66.11,29.4,-0.07,0.33,11.78,0,0,12.11,0,2,3,12,12,0,24,0
experienced,97,387,72,Comment,0,116.74,6,22.43,127.69,-0.47,2.34,20.51,0,0,22.85,0,1,2,0,6,0,6,0
experienced,335,985,67,Follow,0,37.98,3,22.02,29.58,0.37,1.83,20.6,0,0,22.42,0,4,3,36,12,0,48,0
new,12,4,34,Like,0,49.22,16,72.44,63.45,-0.19,0.97,10.51,0,0,11.48,0,1,1,0,0,0,0,0
experienced,347,956,71,Follow,0,28.03,1,79.2,20.78,0.09,0.45,9.16,0,0,9.61,0,2,1,12,0,0,12,0
new,12,1,23,Comment,0,199.23,3,53.74,194.79,0.08,0.41,14.25,0,0,14.66,0,1,2,0,6,0,6,0
beginner,23,24,63,Follow,0,49.32,4,71.75,45.33,0.05,0.27,10.65,0,0,10.92,0,2,5,12,24,5,41,0
experienced,115,364,75,Comment,0,60.33,0,58.61,48.54,0.2,0.99,13.28,0,0,14.27,0,1,2,0,6,0,6,0
experienced,309,911,72,Comment,0,66.25,1,15.91,56.58,0.57,2.86,21.82,0,0,24.67,0,2,1,12,0,0,12,0
fraud,182,671,33,Follow,0,8.87,16,82.87,11.42,-0.03,0.15,8.43,0,0,8.58,0,3,8,24,42,10,76,1
new,5,6,36,Follow,0,69.53,0,85.16,72.3,-0.03,0.16,7.97,0,0,8.13,0,2,3,12,12,0,24,0
experienced,117,538,65,Follow,0,42.81,7,96.79,45.25,-0.02,0.12,5.64,0,0,5.77,0,2,2,12,6,0,18,0
new,1,6,41,Comment,0,208.17,8,80.63,261.78,-0.66,3.28,8.87,0,0,12.16,0,2,3,12,12,0,24,0
power,1025,3172,94,Like,0,7.62,20,8.51,10.51,-0.3,1.52,23.3,0,0,24.82,0,1,3,0,12,5,17,0
experienced,265,260,89,Like,0,24.92,8,40.79,22.26,0.06,0.32,16.84,0,0,17.16,0,1,1,0,0,0,0,0
fraud,499,630,33,Like,1,14.74,0,111.02,12.02,0.02,0.12,2.8,0,0,2.92,0,10,2,108,6,10,124,1
new,14,2,35,Comment,0,172.86,1,76.82,196.58,-0.3,1.52,9.64,0,0,11.16,0,1,2,0,6,0,6,0
fraud,116,812,40,Like,1,17.3,2,62.65,22.16,-0.08,0.38,12.47,0,0,12.85,0,10,14,108,78,50,236,1
new,7,2,48,Follow,0,115.48,7,92.33,83.98,0.34,1.69,6.53,0,0,8.22,0,1,3,0,12,5,17,0
beginner,59,28,51,Follow,0,47.61,6,78.19,63.64,-0.2,1.01,9.36,0,0,10.37,0,2,1,12,0,0,12,0
experienced,203,440,78,Follow,0,32.89,4,89.78,37.58,-0.05,0.26,7.04,0,0,7.3,0,2,2,12,6,5,23,0
power,724,6635,98,Follow,0,27.87,4,8.51,20.26,0.8,4.0,23.3,0,0,27.3,0,1,3,0,12,5,17,0
beginner,47,54,69,Follow,0,74.72,3,44.31,102.64,-0.62,3.08,16.14,0,0,19.22,0,1,3,0,12,0,12,0
experienced,132,269,90,Follow,0,19.79,3,71.13,22.17,-0.03,0.17,10.77,0,0,10.94,0,2,7,12,36,5,53,0
new,10,2,32,Like,0,37.99,1,37.08,35.36,0.07,0.35,17.58,0,0,17.93,0,2,2,12,6,5,23,0
beginner,38,60,60,Comment,0,81.08,7,59.5,90.38,-0.15,0.77,13.1,0,0,13.87,0,2,3,12,12,5,29,0
beginner,47,51,40,Follow,1,30.81,2,59.73,36.18,-0.09,0.44,13.05,0,0,13.5,0,2,1,12,0,5,17,0
experienced,279,676,73,Follow,0,11.58,30,21.49,11.4,0.01,0.04,20.7,0,0,20.74,0,2,3,12,12,5,29,0
fraud,463,340,39,Follow,1,6.34,6,105.85,8.75,-0.02,0.11,3.83,0,0,3.94,0,7,8,72,42,35,149,1
experienced,108,413,90,Like,0,40.19,1,17.44,36.27,0.21,1.06,21.51,0,0,22.58,0,1,2,0,6,0,6,0
power,1242,11267,93,Comment,0,53.18,4,21.64,68.74,-0.69,3.44,20.67,0,0,24.11,0,1,3,0,12,0,12,0
power,436,4931,96,Comment,0,46.93,4,28.64,34.58,0.42,2.08,19.27,0,0,21.35,0,1,3,0,12,5,17,0
beginner,16,69,44,Comment,0,75.92,4,107.0,97.08,-0.2,0.98,3.6,0,0,4.58,0,2,1,12,0,5,17,0
new,4,6,47,Comment,0,116.82,8,92.42,86.15,0.33,1.64,6.52,0,0,8.16,0,2,3,12,12,5,29,0
experienced,113,466,71,Comment,0,112.53,0,79.23,79.38,0.41,2.07,9.15,0,0,11.22,0,3,4,24,18,0,42,0
beginner,37,93,67,Like,0,50.11,17,43.89,66.34,-0.36,1.81,16.22,0,0,18.03,0,2,1,12,0,0,12,0
fraud,158,82,45,Comment,1,67.0,5,168.97,62.34,0.03,0.14,0.0,0,0,0.14,0,1,6,0,30,50,80,1
beginner,20,98,47,Follow,0,86.48,7,19.41,70.0,0.81,4.04,21.12,0,0,25.15,0,1,1,0,0,0,0,0
power,411,5065,97,Like,0,15.69,5,32.23,21.76,-0.18,0.91,18.55,0,0,19.47,0,1,2,0,6,0,6,0
experienced,266,740,81,Comment,0,105.22,2,51.78,141.29,-0.68,3.42,14.64,0,0,18.06,0,1,1,0,0,5,5,0
new,15,6,30,Like,0,24.22,5,104.26,19.8,0.04,0.21,4.15,0,0,4.36,0,1,2,0,6,0,6,0
beginner,51,28,43,Follow,0,17.63,8,78.22,18.41,-0.01,0.05,9.36,0,0,9.41,0,1,1,0,0,0,0,0
beginner,55,84,41,Like,0,54.11,1,53.11,44.21,0.18,0.91,14.38,0,0,15.29,0,2,2,12,6,0,18,0
experienced,108,957,77,Follow,0,24.85,19,75.94,28.83,-0.05,0.26,9.81,0,0,10.07,0,2,3,12,12,0,24,0
experienced,171,156,90,Comment,0,42.9,1,28.44,48.17,-0.18,0.89,19.31,0,0,20.21,0,1,3,0,12,0,12,0
new,11,3,20,Comment,0,313.59,8,61.04,351.29,-0.61,3.04,12.79,0,0,15.83,0,2,1,12,0,0,12,0
fraud,347,637,22,Like,1,5.96,5,26.97,6.44,-0.02,0.09,19.61,0,0,19.69,0,2,5,12,24,35,71,1
beginner,17,41,49,Follow,0,27.84,2,91.46,33.24,-0.06,0.29,6.71,0,0,7.0,0,2,3,12,12,0,24,0
beginner,44,32,69,Comment,0,136.45,7,102.24,151.71,-0.15,0.74,4.55,0,0,5.29,0,2,3,12,12,0,24,0
beginner,16,65,52,Comment,0,120.92,6,59.7,147.77,-0.44,2.21,13.06,0,0,15.27,0,1,2,0,6,0,6,0
beginner,26,16,57,Follow,0,83.59,1,86.92,63.09,0.23,1.17,7.62,0,0,8.78,0,1,2,0,6,5,11,0
experienced,166,740,81,Follow,0,34.0,3,93.94,27.82,0.07,0.33,6.21,0,0,6.54,0,2,1,12,0,0,12,0
fraud,464,972,25,Like,0,5.04,13,88.92,5.58,-0.01,0.03,7.22,0,0,7.25,0,10,7,108,36,35,179,1
beginner,21,11,41,Like,0,16.68,7,72.98,12.84,0.05,0.26,10.4,0,0,10.66,0,3,8,24,42,0,66,0
power,1112,9563,83,Like,0,21.31,7,16.23,20.22,0.06,0.32,21.75,0,0,22.07,0,3,8,24,42,0,66,0
beginner,39,97,63,Like,0,31.42,11,47.16,22.58,0.18,0.92,15.57,0,0,16.49,0,1,1,0,0,0,0,0
experienced,263,500,69,Comment,0,80.26,4,68.09,74.08,0.09,0.45,11.38,0,0,11.83,0,1,1,0,0,0,0,0
experienced,99,955,82,Like,0,23.56,6,119.86,20.06,0.03,0.14,1.03,0,0,1.17,0,1,2,0,6,0,6,0
experienced,76,588,72,Follow,0,51.76,8,35.45,64.63,-0.35,1.77,17.91,0,0,19.68,0,2,2,12,6,0,18,0
new,10,0,20,Comment,0,307.88,6,115.64,305.3,0.02,0.11,1.87,0,0,1.98,0,1,3,0,12,0,12,0
experienced,269,173,69,Follow,0,27.51,7,69.15,32.28,-0.07,0.34,11.17,0,0,11.51,0,2,3,12,12,0,24,0
experienced,295,193,68,Like,0,46.81,0,81.61,54.18,-0.09,0.45,8.68,0,0,9.12,0,2,2,12,6,0,18,0
fraud,234,472,44,Comment,0,6.2,11,10.0,6.18,0.0,0.01,23.0,0,0,23.01,0,6,13,60,72,0,132,1
new,14,3,40,Comment,0,150.42,4,72.36,123.75,0.36,1.82,10.53,0,0,12.35,0,2,3,12,12,0,24,0
new,12,2,36,Like,0,32.58,18,30.57,26.52,0.19,0.96,18.89,0,0,19.85,0,3,3,24,12,0,36,0
experienced,165,672,79,Like,0,13.61,16,33.7,16.75,-0.09,0.45,18.26,0,0,18.71,0,4,6,36,30,0,66,0
experienced,100,282,79,Follow,0,24.75,0,38.59,30.12,-0.14,0.68,17.28,0,0,17.96,0,1,1,0,0,0,0,0
experienced,241,960,71,Follow,0,11.09,15,108.38,12.17,-0.01,0.05,3.32,0,0,3.37,0,2,3,12,12,0,24,0
experienced,173,162,68,Comment,0,98.25,7,58.08,97.76,0.01,0.04,13.38,0,0,13.43,0,1,1,0,0,0,0,0
power,966,12598,95,Like,0,21.65,0,25.56,24.84,-0.12,0.6,19.89,0,0,20.49,0,2,2,12,6,0,18,0
new,4,5,42,Like,0,98.46,7,64.9,137.69,-0.6,2.98,12.02,0,0,15.0,0,1,3,0,12,0,12,0
fraud,343,382,20,Follow,0,6.28,19,126.71,5.63,0.01,0.03,0.0,0,0,0.03,0,5,12,48,66,20,134,1
beginner,19,89,59,Like,0,49.73,7,82.43,65.54,-0.19,0.95,8.51,0,0,9.46,0,1,2,0,6,0,6,0
new,9,8,43,Comment,0,71.97,5,99.83,85.63,-0.14,0.68,5.03,0,0,5.71,0,1,3,0,12,0,12,0
experienced,298,559,74,Like,0,29.63,4,113.58,40.28,-0.09,0.46,2.28,0,0,2.75,0,2,2,12,6,0,18,0
experienced,99,950,68,Follow,0,44.33,1,68.82,41.18,0.05,0.23,11.24,0,0,11.46,0,1,2,0,6,0,6,0
beginner,17,57,59,Like,0,41.08,1,74.82,31.71,0.12,0.62,10.04,0,0,10.65,0,1,2,0,6,0,6,0
experienced,343,863,83,Follow,0,20.35,7,102.41,26.91,-0.06,0.32,4.52,0,0,4.84,0,2,3,12,12,5,29,0
beginner,16,88,54,Follow,0,22.66,2,20.11,26.57,-0.19,0.93,20.98,0,0,21.9,0,4,6,36,30,5,71,0
experienced,310,481,72,Like,0,28.83,6,64.92,24.71,0.06,0.31,12.02,0,0,12.33,0,2,3,12,12,0,24,0
beginner,26,69,57,Comment,0,193.99,17,19.77,263.45,-3.34,16.72,21.05,0,0,37.77,0,1,1,0,0,0,0,0
beginner,36,53,66,Follow,0,35.32,0,76.01,26.23,0.12,0.59,9.8,0,0,10.39,0,2,1,12,0,0,12,0
experienced,158,482,74,Like,0,16.76,4,100.85,13.62,0.03,0.15,4.83,0,0,4.98,0,2,3,12,12,0,24,0
experienced,139,451,67,Like,0,8.85,7,50.51,7.29,0.03,0.15,14.9,0,0,15.05,0,1,2,0,6,5,11,0
experienced,187,266,80,Like,0,41.65,8,43.98,43.85,-0.05,0.24,16.2,0,0,16.45,0,2,1,12,0,5,17,0
new,12,3,49,Like,0,95.74,1,46.94,88.59,0.15,0.75,15.61,0,0,16.36,0,2,1,12,0,0,12,0
beginner,32,80,45,Like,0,37.25,8,93.09,50.26,-0.14,0.69,6.38,0,0,7.07,0,1,3,0,12,0,12,0
experienced,166,387,88,Follow,0,17.04,5,91.85,20.4,-0.04,0.18,6.63,0,0,6.81,0,2,3,12,12,0,24,0
fraud,291,700,38,Comment,1,10.75,6,18.2,8.36,0.12,0.62,21.36,0,0,21.98,0,2,2,12,6,20,38,1
experienced,154,441,85,Like,1,32.78,1,79.9,26.56,0.08,0.38,9.02,0,0,9.41,0,1,1,0,0,0,0,0
experienced,231,350,76,Comment,0,74.17,4,53.44,52.07,0.41,2.03,14.31,0,0,16.34,0,2,3,12,12,5,29,0
beginner,51,12,44,Like,0,25.18,3,43.4,32.68,-0.17,0.84,16.32,0,0,17.16,0,2,3,12,12,0,24,0
experienced,77,195,65,Follow,0,25.23,8,72.47,31.58,-0.09,0.43,10.51,0,0,10.94,0,2,3,12,12,0,24,0
beginner,50,51,44,Comment,0,133.93,22,36.18,123.13,0.29,1.45,17.76,0,0,19.21,0,2,3,12,12,0,24,0
experienced,105,559,74,Like,0,12.0,10,113.45,16.32,-0.04,0.19,2.31,0,0,2.5,0,1,1,0,0,0,0,0
experienced,145,474,76,Follow,0,43.38,5,89.56,42.41,0.01,0.05,7.09,0,0,7.14,0,2,1,12,0,0,12,0
fraud,444,605,33,Like,0,2.99,27,60.86,2.74,0.0,0.02,12.83,0,0,12.85,0,1,2,0,6,35,41,1
beginner,55,39,46,Comment,0,121.67,7,68.1,86.14,0.51,2.57,11.38,0,0,13.95,0,1,2,0,6,0,6,0
beginner,43,96,47,Follow,0,35.63,4,54.59,41.69,-0.11,0.55,14.08,0,0,14.63,0,1,3,0,12,0,12,0
new,2,5,46,Comment,0,286.17,8,39.67,377.86,-2.25,11.27,17.07,0,0,28.34,0,2,3,12,12,5,29,0
new,2,5,42,Comment,0,259.38,2,58.59,206.43,0.89,4.44,13.28,0,0,17.72,0,1,1,0,0,0,0,0
experienced,72,949,70,Like,0,27.48,4,78.16,37.21,-0.12,0.61,9.37,0,0,9.98,0,2,5,12,24,0,36,0
beginner,56,52,57,Like,0,39.34,1,86.83,36.5,0.03,0.16,7.63,0,0,7.8,0,1,2,0,6,0,6,0
beginner,25,62,56,Follow,0,52.43,8,38.96,56.89,-0.11,0.56,17.21,0,0,17.77,0,2,2,12,6,0,18,0
new,8,0,28,Follow,0,29.56,5,85.1,29.56,-0.0,0.0,7.98,0,0,7.98,0,2,1,12,0,5,17,0
beginner,48,67,64,Follow,0,24.5,1,107.4,20.24,0.04,0.2,3.52,0,0,3.72,0,2,3,12,12,0,24,0
power,745,3229,89,Comment,1,67.4,3,14.22,75.69,-0.54,2.72,22.16,0,0,24.88,0,1,3,0,12,0,12,0
power,269,10842,96,Comment,0,61.75,15,16.45,84.1,-1.28,6.4,21.71,0,0,28.11,0,1,2,0,6,0,6,0
experienced,70,392,90,Like,0,40.29,8,50.56,51.89,-0.22,1.12,14.89,0,0,16.01,0,1,3,0,12,0,12,0
new,4,6,50,Like,0,69.39,1,52.71,87.18,-0.33,1.66,14.46,0,0,16.11,0,2,3,12,12,5,29,0
beginner,33,26,43,Like,0,51.79,1,108.71,50.21,0.01,0.07,3.26,0,0,3.33,0,1,3,0,12,5,17,0
new,1,1,43,Comment,0,342.43,8,107.45,265.73,0.71,3.54,3.51,0,0,7.05,0,1,1,0,0,0,0,0
beginner,26,77,64,Like,0,48.12,5,101.44,39.18,0.09,0.44,4.71,0,0,5.15,0,2,2,12,6,0,18,0
beginner,45,38,44,Comment,0,82.19,5,94.15,105.13,-0.24,1.21,6.17,0,0,7.38,0,1,1,0,0,0,0,0
new,7,10,25,Comment,0,134.7,5,60.69,147.46,-0.21,1.03,12.86,0,0,13.9,0,1,2,0,6,0,6,0
experienced,244,810,69,Like,0,43.17,2,20.39,36.19,0.33,1.63,20.92,0,0,22.56,0,3,4,24,18,0,42,0
new,6,3,42,Comment,0,159.07,6,112.15,205.16,-0.41,2.04,2.57,0,0,4.61,0,1,3,0,12,0,12,0
beginner,30,96,56,Follow,0,32.54,5,18.42,34.52,-0.1,0.51,21.32,0,0,21.83,0,4,8,36,42,0,78,0
beginner,53,93,69,Like,0,26.22,7,115.4,36.45,-0.09,0.44,1.92,0,0,2.36,0,2,8,12,42,0,54,0
beginner,21,72,67,Comment,0,160.28,1,85.02,216.33,-0.65,3.26,8.0,0,0,11.25,0,3,7,24,36,0,60,0
power,387,4071,88,Comment,0,26.5,10,33.76,29.67,-0.09,0.46,18.25,0,0,18.7,0,2,7,12,36,0,48,0
beginner,43,76,61,Like,0,63.25,14,75.65,86.08,-0.3,1.49,9.87,0,0,11.36,0,1,2,0,6,5,11,0
beginner,23,100,43,Like,0,32.08,3,51.31,35.84,-0.07,0.36,14.74,0,0,15.1,0,2,3,12,12,0,24,0
beginner,22,61,49,Follow,0,63.24,6,103.44,73.73,-0.1,0.5,4.31,0,0,4.81,0,1,3,0,12,5,17,0
beginner,50,75,60,Comment,0,80.83,4,55.55,61.04,0.35,1.75,13.89,0,0,15.64,0,2,2,12,6,0,18,0
experienced,229,874,80,Comment,0,110.68,4,118.51,115.91,-0.04,0.22,1.3,0,0,1.52,0,3,5,24,24,0,48,0
beginner,47,57,69,Follow,0,83.09,0,102.36,70.99,0.12,0.59,4.53,0,0,5.11,0,2,3,12,12,0,24,0
beginner,20,13,44,Follow,0,29.8,6,78.54,40.21,-0.13,0.65,9.29,0,0,9.95,0,2,1,12,0,0,12,0
experienced,93,574,90,Follow,0,10.72,13,98.86,14.18,-0.03,0.17,5.23,0,0,5.4,0,2,3,12,12,5,29,0
experienced,136,921,90,Follow,0,50.67,8,70.64,44.02,0.09,0.46,10.87,0,0,11.34,0,4,3,36,12,0,48,0
fraud,369,837,44,Like,0,4.16,34,70.77,3.2,0.01,0.07,10.85,0,0,10.91,0,2,6,12,30,10,52,1
experienced,117,335,83,Comment,0,75.45,4,28.71,56.23,0.65,3.23,19.26,0,0,22.49,0,2,3,12,12,0,24,0
fraud,50,541,58,Like,1,18.44,1,122.05,14.73,0.03,0.15,0.59,0,0,0.74,0,9,15,96,84,20,200,1
new,9,4,39,Follow,0,121.27,1,97.16,124.09,-0.03,0.14,5.57,0,0,5.71,0,1,2,0,6,0,6,0
new,11,1,27,Like,0,17.07,2,28.27,18.53,-0.05,0.25,19.35,0,0,19.6,0,2,2,12,6,0,18,0
experienced,241,361,79,Comment,0,52.25,8,118.37,69.23,-0.14,0.71,1.33,0,0,2.04,0,2,3,12,12,0,24,0
experienced,342,310,82,Comment,0,94.95,4,53.57,68.88,0.48,2.39,14.29,0,0,16.68,0,2,2,12,6,0,18,0
experienced,154,311,81,Comment,0,132.72,5,115.36,158.61,-0.22,1.11,1.93,0,0,3.04,0,1,1,0,0,0,0,0
power,557,5555,80,Like,0,7.37,18,32.59,9.32,-0.06,0.29,18.48,0,0,18.77,0,3,5,24,24,5,53,0
beginner,19,82,46,Follow,0,46.52,6,18.3,34.79,0.61,3.04,21.34,0,0,24.38,0,2,3,12,12,0,24,0
beginner,35,78,64,Follow,0,38.6,0,28.33,53.35,-0.5,2.51,19.33,0,0,21.85,0,2,3,12,12,0,24,0
fraud,69,234,50,Like,1,1.12,22,147.44,1.39,-0.0,0.01,0.0,0,0,0.01,0,1,14,0,78,50,128,1
experienced,218,147,87,Follow,0,27.35,3,99.17,24.66,0.03,0.13,5.17,0,0,5.3,0,2,3,12,12,0,24,0
beginner,58,68,40,Like,0,13.48,7,23.12,14.53,-0.04,0.22,20.38,0,0,20.59,0,1,1,0,0,0,0,0
beginner,29,64,63,Comment,0,80.0,2,65.2,96.7,-0.25,1.26,11.96,0,0,13.22,0,2,3,12,12,0,24,0
beginner,30,62,62,Comment,1,148.27,18,33.8,158.7,-0.3,1.5,18.24,0,0,19.74,0,1,1,0,0,5,5,0
experienced,76,193,90,Comment,0,90.16,9,67.49,111.46,-0.31,1.55,11.5,0,0,13.06,0,1,3,0,12,0,12,0
power,685,4686,91,Like,0,18.21,7,30.43,22.56,-0.14,0.69,18.91,0,0,19.61,0,2,2,12,6,0,18,0
beginner,23,21,52,Like,0,28.79,2,89.82,35.53,-0.07,0.37,7.04,0,0,7.41,0,2,2,12,6,5,23,0
beginner,39,60,54,Follow,0,23.73,8,80.9,18.62,0.06,0.31,8.82,0,0,9.13,0,1,1,0,0,0,0,0
fraud,393,554,51,Comment,0,11.61,10,147.95,11.11,0.0,0.02,0.0,0,0,0.02,0,4,9,36,48,50,134,1
beginner,24,38,57,Like,0,20.46,4,113.0,20.55,-0.0,0.0,2.4,0,0,2.4,0,2,3,12,12,0,24,0
new,5,5,50,Like,0,69.57,2,30.77,72.98,-0.11,0.54,18.85,0,0,19.38,0,4,4,36,18,0,54,0
beginner,45,95,46,Follow,0,48.8,0,17.5,61.83,-0.7,3.52,21.5,0,0,25.02,0,2,4,12,18,0,30,0
power,409,14864,96,Follow,0,26.94,4,18.29,21.58,0.28,1.39,21.34,0,0,22.73,0,1,1,0,0,0,0,0
power,670,3568,82,Like,0,11.89,5,23.42,16.26,-0.18,0.89,20.32,0,0,21.21,0,2,2,12,6,0,18,0
beginner,15,39,48,Like,0,17.51,0,38.82,18.54,-0.03,0.13,17.24,0,0,17.37,0,1,2,0,6,0,6,0
fraud,302,607,20,Follow,1,6.45,16,167.14,4.72,0.01,0.05,0.0,0,0,0.05,0,7,12,72,66,35,173,1
power,596,8855,97,Like,0,20.05,6,29.17,19.34,0.02,0.12,19.17,0,0,19.28,0,4,4,36,18,0,54,0
experienced,337,709,88,Follow,0,17.18,6,81.21,21.63,-0.05,0.27,8.76,0,0,9.03,0,1,1,0,0,0,0,0
beginner,53,27,44,Like,0,35.13,8,59.25,48.28,-0.22,1.09,13.15,0,0,14.24,0,2,3,12,12,0,24,0
new,7,1,32,Follow,0,56.84,0,101.65,64.93,-0.08,0.39,4.67,0,0,5.06,0,2,2,12,6,5,23,0
fraud,154,680,36,Follow,0,2.2,34,127.27,2.14,0.0,0.0,0.0,0,0,0.0,0,1,5,0,24,50,74,1
fraud,448,759,33,Follow,1,4.01,32,14.36,5.06,-0.07,0.34,22.13,0,0,22.47,0,8,4,84,18,35,137,1
fraud,392,575,56,Like,0,26.48,5,18.21,33.72,-0.38,1.88,21.36,0,0,23.24,0,4,8,36,42,35,113,1
new,7,7,43,Like,0,40.61,9,42.56,43.09,-0.06,0.28,16.49,0,0,16.77,0,1,3,0,12,0,12,0
new,11,0,46,Like,0,14.88,4,63.62,12.83,0.03,0.16,12.28,0,0,12.43,0,2,3,12,12,0,24,0
power,639,4631,85,Follow,0,22.05,1,13.48,28.73,-0.46,2.31,22.3,0,0,24.61,0,1,3,0,12,5,17,0
beginner,18,94,40,Like,0,12.23,6,81.03,13.47,-0.02,0.08,8.79,0,0,8.87,0,1,2,0,6,0,6,0
experienced,283,316,79,Like,0,29.08,8,52.46,37.59,-0.16,0.8,14.51,0,0,15.3,0,2,3,12,12,0,24,0
fraud,106,718,37,Like,0,7.45,17,41.52,7.94,-0.01,0.06,16.7,0,0,16.75,0,6,10,60,54,20,134,1
power,960,14752,86,Comment,0,30.0,4,17.5,40.14,-0.55,2.74,21.5,0,0,24.24,0,2,1,12,0,0,12,0
experienced,316,874,86,Like,0,33.21,12,15.86,46.03,-0.76,3.8,21.83,0,0,25.63,0,2,2,12,6,0,18,0
experienced,150,470,80,Follow,0,35.88,3,110.78,41.66,-0.05,0.26,2.84,0,0,3.1,0,1,3,0,12,5,17,0
experienced,134,258,66,Follow,0,31.15,1,78.95,30.03,0.01,0.07,9.21,0,0,9.28,0,2,2,12,6,0,18,0
experienced,305,844,88,Comment,0,99.58,14,112.99,110.55,-0.1,0.48,2.4,0,0,2.88,0,2,1,12,0,0,12,0
fraud,96,106,51,Comment,1,6.42,19,134.28,8.65,-0.02,0.08,0.0,0,0,0.08,0,4,14,36,78,20,134,1
experienced,337,599,73,Comment,0,39.96,5,42.35,40.38,-0.01,0.05,16.53,0,0,16.58,0,2,3,12,12,0,24,0
beginner,32,12,62,Comment,0,183.91,4,44.96,230.94,-1.02,5.12,16.01,0,0,21.13,0,2,3,12,12,0,24,0
power,508,14049,84,Comment,0,31.19,2,32.22,26.19,0.15,0.75,18.56,0,0,19.31,0,1,1,0,0,0,0,0
experienced,264,670,72,Comment,0,57.32,5,81.16,75.21,-0.22,1.09,8.77,0,0,9.86,0,1,1,0,0,0,0,0
experienced,209,426,77,Like,0,19.63,5,52.67,22.82,-0.06,0.3,14.47,0,0,14.76,0,2,1,12,0,5,17,0
beginner,60,74,47,Like,0,13.13,7,84.01,10.83,0.03,0.14,8.2,0,0,8.33,0,2,2,12,6,0,18,0
beginner,26,77,48,Follow,0,88.09,0,77.44,97.47,-0.12,0.6,9.51,0,0,10.11,0,1,2,0,6,0,6,0
beginner,41,56,57,Comment,0,170.88,15,18.62,123.46,2.42,12.08,21.28,0,0,33.36,0,1,1,0,0,0,0,0
fraud,138,817,55,Comment,0,30.13,8,110.45,38.83,-0.08,0.39,2.91,0,0,3.3,0,3,12,24,66,20,110,1
experienced,307,559,81,Follow,0,47.85,0,50.62,57.04,-0.18,0.89,14.88,0,0,15.77,0,1,2,0,6,5,11,0
beginner,54,36,47,Comment,0,73.0,7,78.36,62.48,0.13,0.66,9.33,0,0,9.99,0,2,3,12,12,0,24,0
experienced,322,729,80,Follow,0,34.73,2,45.8,34.19,0.01,0.06,15.84,0,0,15.9,0,1,2,0,6,5,11,0
experienced,125,532,90,Like,0,34.17,8,32.76,39.03,-0.14,0.72,18.45,0,0,19.17,0,1,1,0,0,0,0,0
beginner,15,66,46,Comment,0,181.53,4,93.93,187.2,-0.06,0.3,6.21,0,0,6.51,0,1,3,0,12,0,12,0
beginner,44,96,58,Comment,1,163.38,2,117.99,176.84,-0.11,0.57,1.4,0,0,1.97,0,2,3,12,12,0,24,0
experienced,233,579,76,Like,0,28.64,3,90.61,32.57,-0.04,0.21,6.88,0,0,7.09,0,2,3,12,12,5,29,0
power,978,4510,87,Comment,0,57.3,8,33.21,63.05,-0.17,0.84,18.36,0,0,19.2,0,2,7,12,36,5,53,0
experienced,215,924,77,Follow,0,23.64,5,90.23,23.03,0.01,0.03,6.95,0,0,6.99,0,1,2,0,6,0,6,0
power,593,13100,100,Follow,0,35.3,8,33.67,47.78,-0.36,1.8,18.27,0,0,20.07,0,1,2,0,6,0,6,0
beginner,57,54,69,Follow,0,38.21,7,27.87,38.26,-0.0,0.01,19.43,0,0,19.43,0,2,2,12,6,0,18,0
new,2,6,40,Like,0,59.86,5,27.39,44.89,0.53,2.64,19.52,0,0,22.16,0,2,3,12,12,0,24,0
experienced,186,158,66,Like,0,30.12,1,56.19,26.69,0.06,0.3,13.76,0,0,14.06,0,2,2,12,6,0,18,0
experienced,283,294,80,Follow,0,20.4,1,103.16,19.88,0.0,0.02,4.37,0,0,4.39,0,2,2,12,6,5,23,0
experienced,77,324,89,Follow,1,25.49,0,71.2,23.77,0.02,0.12,10.76,0,0,10.88,0,1,2,0,6,5,11,0
power,1181,9351,100,Follow,0,19.87,16,32.4,26.4,-0.2,0.98,18.52,0,0,19.5,0,1,3,0,12,0,12,0
new,14,10,26,Like,0,78.07,1,49.92,86.75,-0.17,0.85,15.02,0,0,15.87,0,2,8,12,42,0,54,0
new,7,9,21,Comment,0,254.88,2,113.98,317.14,-0.54,2.71,2.2,0,0,4.91,0,2,3,12,12,0,24,0
new,2,9,25,Like,0,106.81,2,89.74,81.51,0.28,1.39,7.05,0,0,8.45,0,2,3,12,12,0,24,0
